# HSK 4 (part 2) — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
490 你/考虑/好了/吗？ | Have you made up your mind?
492 北京/烤鸭/很/有名。 | Peking roast duck is very famous.
492 我们/晚上/去/吃/烤鸭/吧。 | Let's go and have roast duck tonight.
494 学校/门口/有/两棵/树。 | There are two trees at the school gate.
494 这棵/树/有/一百/多/年了。 | This tree is over a hundred years old.
498 这个/孩子/很/可怜。 | This child is very pitiful.
498 那只/小猫/看起来/很/可怜。 | That kitten looks so sad.
499 他/肯定/会/来。 | He's definitely coming.
499 我/肯定/没/看错。 | I'm sure I didn't see it wrong.
502 我/想/去，/可是/没有/钱。 | I want to go, but I don't have any money.
502 他/很/累，/可是/还/在/工作。 | He's tired, but he's still working.
503 我/咳嗽/得/很/厉害。 | I have a bad cough.
503 他/一直/在/咳嗽。 | He keeps coughing.
504 我们/在/客厅/看/电视。 | We watch TV in the living room.
504 客厅里/有/一个/大/沙发。 | There's a big sofa in the living room.
505 这么/好的/机会，/太/可惜了。 | It's a real shame to miss such a good chance.
505 可惜/他/没/来。 | Too bad he didn't come.
506 他/是/一个/科学家。 | He is a scientist.
506 我们/要/相信/科学。 | We should trust science.
508 杯子/是/空的。 | The cup is empty.
508 这个/瓶子/空了。 | This bottle is empty.
509 恐怕/要/下雨了。 | I'm afraid it's going to rain.
509 这件/事/恐怕/不/容易。 | I'm afraid this won't be easy.
510 这里的/空气/很/好。 | The air here is good.
510 城市里/空气/污染/很/严重。 | Air pollution in the city is serious.
514 这个/咖啡/很/苦。 | This coffee is very bitter.
514 他/小时候/生活/很/苦。 | He had a hard life as a child.
519 我/买了/两瓶/矿泉水。 | I bought two bottles of mineral water.
519 你/要/矿泉水/吗？ | Would you like some mineral water?
520 我/很/困，/想/睡觉。 | I'm sleepy and want to go to bed.
520 开会/的时候/我/很/困。 | I was very sleepy during the meeting.
521 我/遇到了/很多/困难。 | I've run into a lot of difficulties.
521 有/困难/就/找/我。 | If you have any problems, come to me.
523 他/拉着/行李箱/走了。 | He left pulling his suitcase.
523 他/拉/我/去/看/电影。 | He dragged me off to see a movie.
524 我/不/能/吃/辣。 | I can't eat spicy food.
524 这个/菜/太/辣了。 | This dish is too spicy.
526 快/走/吧，/要/来不及了。 | Let's go, or we won't make it.
526 我/来不及/吃/早饭。 | I don't have time for breakfast.
527 现在/去/还/来得及。 | There's still time if we go now.
527 我们/来得及/赶上/火车/吗？ | Will we make the train?
528 我/来自/美国。 | I'm from America.
528 他们/来自/不同的/国家。 | They come from different countries.
529 垃圾桶/在/门口。 | The bin is by the door.
529 请/把/纸/扔进/垃圾桶。 | Please put the paper in the bin.
530 他/很/懒，/不/爱/运动。 | He's lazy and doesn't like exercise.
530 别/太/懒了。 | Don't be so lazy.
532 不要/浪费/时间。 | Don't waste time.
532 浪费/食物/是/不好的。 | It's wrong to waste food.
533 巴黎/是/一个/浪漫的/城市。 | Paris is a romantic city.
533 他/是/一个/很/浪漫的/人。 | He's a very romantic person.
535 老虎/是/很/危险的/动物。 | Tigers are very dangerous animals.
535 我/在/动物园/看到了/老虎。 | I saw a tiger at the zoo.
540 你/要/冷静/一点儿。 | You need to calm down a bit.
540 他/遇到/事情/总是/很/冷静。 | He always stays calm when something happens.
543 你们/俩/是/同学/吗？ | Are you two classmates?
543 我们/俩/一起/去/吧。 | Let's go together, the two of us.
545 他/连/饭/都/没/吃/就/走了。 | He left without even eating.
545 这个/字/连/孩子/都/认识。 | Even children know this character.
548 今天/很/凉快。 | It's nice and cool today.
548 树下/很/凉快。 | It's cool under the tree.
550 到了/以后/跟/我/联系。 | Get in touch with me when you arrive.
550 我/怎么/联系/你？ | How can I contact you?
553 礼拜天/我/不/上班。 | I don't work on Sundays.
553 这个/礼拜天/我们/去/爬山。 | We're going hiking this Sunday.
554 我/想/去/理发。 | I want to get a haircut.
554 这家/理发店/很/便宜。 | This barber's is very cheap.
555 他/真/厉害！ | He's amazing!
555 我/头/疼得/很/厉害。 | I have a terrible headache.
556 我/理解/你的/心情。 | I understand how you feel.
556 这个/问题/很/难/理解。 | This question is hard to understand.
558 他/很/有/礼貌。 | He's very polite.
558 这样/做/很/没/礼貌。 | Doing that is very rude.
560 你/有/零钱/吗？ | Do you have any change?
560 我/身上/没有/零钱。 | I don't have any change on me.
561 我/另外/还/买了/一本书。 | I also bought another book.
561 另外/一个/人/是/谁？ | Who is the other person?
563 我/没有/力气/了。 | I've got no strength left.
563 他/很/有/力气。 | He's very strong.
564 我/喜欢/很多/运动，/例如/游泳。 | I like lots of sports, for example swimming.
564 有些/水果，/例如/苹果，/很/便宜。 | Some fruit, such as apples, is cheap.
567 请/给/我/留/一个/座位。 | Please save me a seat.
567 他/留在了/北京。 | He stayed in Beijing.
568 他的/汉语/很/流利。 | His Chinese is very fluent.
568 我/希望/能/流利地/说/汉语。 | I hope to speak Chinese fluently.
569 这种/衣服/今年/很/流行。 | These clothes are popular this year.
569 这/是/最/流行的/歌。 | This is the most popular song.
572 我的/理想/是/当/医生。 | My dream is to be a doctor.
572 这个/成绩/不太/理想。 | This result isn't great.
576 我的/桌子/很/乱。 | My desk is very messy.
576 别/乱/说。 | Don't talk nonsense.
577 他/是/一名/律师。 | He is a lawyer.
577 你/应该/问问/律师。 | You should ask a lawyer.
578 我/想/去/旅行。 | I want to go traveling.
578 旅行/可以/让/人/开心。 | Traveling can make people happy.
582 太/麻烦/你了。 | Sorry to put you to so much trouble.
582 这件/事/很/麻烦。 | This is a real hassle.
583 做事/不能/马虎。 | You can't be sloppy in your work.
583 他/写/作业/太/马虎/了。 | He's too careless with his homework.
588 杯子里/的/水/满了。 | The cup is full of water.
588 电影院里/坐满了/人。 | The cinema is packed.
591 这个/面包/三块/五毛。 | This bread is three yuan fifty.
591 我/还/差/五毛/钱。 | I'm still fifty fen short.
593 这/条/毛巾/是/新的。 | This towel is new.
593 请/给/我/一条/毛巾。 | Please give me a towel.
599 这里的/风景/很/美丽。 | The scenery here is beautiful.
599 她/是/一个/美丽的/女孩。 | She's a beautiful girl.
602 我/昨天/做了/一个/好/梦。 | I had a nice dream last night.
602 我的/梦/是/当/一名/歌手。 | My dream is to be a singer.
605 这里的/水/是/免费的。 | The water here is free.
605 学生/可以/免费/参观。 | Students can visit for free.
607 一分钟/有/六十/秒。 | There are sixty seconds in a minute.
607 请/等/我/几秒。 | Give me a few seconds.
609 我/迷路了。 | I'm lost.
609 他/在/北京/迷路了。 | He got lost in Beijing.
610 你的/密码/是/什么？ | What's your password?
610 我/忘了/密码。 | I forgot my password.
614 中国/有/五十六个/民族。 | China has fifty-six ethnic groups.
614 每个/民族/都/有/自己的/文化。 | Every ethnic group has its own culture.
615 你/来/中国的/目的/是/什么？ | What's your reason for coming to China?
615 我/学习/汉语的/目的/是/工作。 | I'm learning Chinese for work.
616 我的/母亲/今年/五十岁。 | My mother is fifty this year.
616 母亲/总是/很/关心/我。 | My mother always cares about me.
376 我/姐姐/是/一名/护士。 | My older sister is a nurse.
376 护士/正在/给/病人/打针。 | The nurse is giving the patient an injection.
376 这家/医院的/护士/都/很/热情。 | The nurses at this hospital are all very kind.
