# HSK 2 — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
1124 这个/菜/真/好吃。 | This dish is really delicious.
1131 我/正在/吃饭。 | I'm eating right now.
1131 他们/正在/上课。 | They're in class right now.
1138 我/知道/了。 | I see / Got it.
1138 你/知道/他/住/哪儿/吗？ | Do you know where he lives?
1167 我/在/准备/考试。 | I'm preparing for an exam.
1167 你/准备好/了吗？ | Are you ready?
1182 我们/走/吧。 | Let's go.
1182 他/每天/走路/上学。 | He walks to school every day.
1185 我/最/喜欢/吃/饺子。 | I like dumplings best.
1185 他/是/我们班/最/高的/人。 | He's the tallest person in our class.
1193 请/往/左边/走。 | Please go to the left.
1193 银行/在/超市/左边。 | The bank is to the left of the supermarket.
