# HSK 4 (part 4) — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
1011 谢谢/你的/邀请。 | Thank you for the invitation.
1013 要是/下雨，/我们/就/不/去了。 | If it rains, we won't go.
1013 要是/你/有/时间，/来/找/我。 | If you have time, come and see me.
1014 我/找不到/钥匙/了。 | I can't find my keys.
1014 这/是/房间的/钥匙。 | This is the key to the room.
1015 亚洲/有/很多/国家。 | There are many countries in Asia.
1015 他/去过/亚洲/很多/地方。 | He's been to lots of places in Asia.
1017 这本书/有/三百页。 | This book has three hundred pages.
1017 请/看/第五页。 | Please look at page five.
1018 也许/明天/会/下雨。 | Maybe it'll rain tomorrow.
1018 他/也许/不/知道。 | Perhaps he doesn't know.
1020 秋天/叶子/变黄了。 | The leaves turn yellow in autumn.
1020 这棵/树的/叶子/很/大。 | This tree has very big leaves.
1022 他/以/第一名的/成绩/毕业了。 | He graduated top of his class.
1022 他/以/很快的/速度/跑了/过来。 | He came running over very fast.
1030 你/有/什么/意见？ | What's your opinion?
1030 我/同意/你的/意见。 | I agree with you.
1033 他/生病了，/因此/没/来。 | He was ill, so he didn't come.
1033 我/很/喜欢/中国，/因此/来/这里/学习。 | I really like China, so I came here to study.
1034 我们/赢了！ | We won!
1034 谁/赢了？ | Who won?
1036 他/来/我们/公司/应聘。 | He came to our company to apply for a job.
1036 我/想/去/应聘/这个/工作。 | I want to apply for this job.
1040 这件/事/引起了/大家的/讨论。 | This sparked a lot of discussion.
1040 感冒/可能/引起/发烧。 | A cold can cause a fever.
1042 我/对/他的/印象/很好。 | I have a good impression of him.
1042 北京/给/我/留下了/很/深的/印象。 | Beijing made a deep impression on me.
1046 一切/都/很/好。 | Everything is fine.
1046 他/为/家人/做了/一切。 | He did everything for his family.
1048 我/喜欢/艺术。 | I like art.
1048 他/在/艺术/学校/学习。 | He studies at an art school.
1050 我/以为/他/是/老师。 | I thought he was a teacher.
1050 我/还/以为/你/不/来了。 | I thought you weren't coming.
1057 你/要/勇敢/一点儿。 | You need to be a bit braver.
1057 他/勇敢地/救了/那个/孩子。 | He bravely saved that child.
1058 我/永远/不/会/忘记/你。 | I'll never forget you.
1058 我们/永远/是/好朋友。 | We'll always be good friends.
1061 这个/问题/由/我/来/回答。 | I'll answer this question.
1061 这个/活动/由/我/负责。 | I'm in charge of this event.
1063 每个人/都/有/优点。 | Everyone has their strengths.
1063 这个/房子的/优点/是/很/安静。 | The good thing about this house is that it's quiet.
1064 他/对/我/很/友好。 | He's very friendly to me.
1064 两个/国家/关系/很/友好。 | The two countries are on friendly terms.
1065 邮局/在/哪儿？ | Where is the post office?
1065 我/去/邮局/寄/信。 | I'm going to the post office to mail a letter.
1067 他/是/一个/幽默的/人。 | He's a funny person.
1067 他/说话/很/幽默。 | He talks in a very funny way.
1068 我/喜欢/水果，/尤其/是/苹果。 | I like fruit, especially apples.
1068 这里/冬天/很/冷，/尤其/是/晚上。 | Winters here are cold, especially at night.
1069 这个/故事/很/有趣。 | This story is very interesting.
1069 他/是/一个/很/有趣的/人。 | He's a very interesting person.
1071 他/是/一个/优秀的/学生。 | He's an outstanding student.
1071 她的/成绩/非常/优秀。 | Her grades are excellent.
1072 我们的/友谊/很/深。 | Our friendship is very deep.
1072 友谊/比/钱/重要。 | Friendship is more important than money.
1074 由于/身体/不好，/他/没/来。 | He didn't come because he wasn't well.
1074 由于/时间/不够，/我们/没/做完。 | We didn't finish because we ran out of time.
1075 我/与/他/是/同学。 | He and I are classmates.
1075 这/与/天气/有/关系。 | This has to do with the weather.
1079 原来/是/你/啊！ | Oh, it's you!
1079 我/原来/住在/上海。 | I used to live in Shanghai.
1080 我/原谅/你了。 | I forgive you.
1080 他/不/原谅/我。 | He won't forgive me.
1082 你/知道/原因/吗？ | Do you know why?
1082 他/迟到的/原因/是/堵车。 | The reason he was late was the traffic.
1086 我/每天/阅读/一个/小时。 | I read for an hour every day.
1086 阅读/能/让/人/学到/很多/东西。 | Reading teaches you a lot.
1087 我/今天/有/约会。 | I have a date today.
1087 他们/第一次/约会/去/看/电影。 | They went to the movies on their first date.
1089 这个/语法/很/难。 | This grammar point is hard.
1089 我/在/学习/汉语/语法。 | I'm studying Chinese grammar.
1090 祝/你/周末/愉快！ | Have a nice weekend!
1090 我们/玩得/很/愉快。 | We had a great time.
1091 你/会/打/羽毛球/吗？ | Can you play badminton?
1091 我/和/朋友/在/打/羽毛球。 | I'm playing badminton with a friend.
1092 天上/没有/云。 | There are no clouds in the sky.
1092 云/越来越/多，/要/下雨了。 | The clouds are building up; it's going to rain.
1094 我/不/允许/你/这么/做。 | I won't allow you to do that.
1094 这里/允许/带/狗/吗？ | Are dogs allowed here?
1095 我/饿了，/于是/去/买/吃的。 | I was hungry, so I went to buy something to eat.
1095 他/没/听懂，/于是/又/问了/一遍。 | He didn't understand, so he asked again.
1096 请/预习/第五课。 | Please prepare lesson five.
1096 他/每天/都/预习/和/复习。 | He prepares and reviews every day.
1097 他/会/说/三种/语言。 | He speaks three languages.
1097 学/语言/需要/时间。 | Learning a language takes time.
1101 这里/太/脏了。 | It's too dirty here.
1101 别/用/脏/手/吃/东西。 | Don't eat with dirty hands.
1102 咱们/走/吧。 | Let's go.
1102 咱们/明天/见。 | See you tomorrow.
1103 他/暂时/不在。 | He's not here at the moment.
1103 我/暂时/不/想/买/车。 | I don't want to buy a car for now.
1105 这本/杂志/很/有意思。 | This magazine is very interesting.
1105 我/在/看/杂志。 | I'm reading a magazine.
1106 学生/增加了/很多。 | The number of students has grown a lot.
1106 我的/工资/增加了。 | My pay has gone up.
1109 这/是/我的/责任。 | This is my responsibility.
1109 他/很/有/责任心。 | He has a strong sense of responsibility.
1114 他的/电话/占线。 | His line is busy.
1114 我/打/过去，/一直/占线。 | I called, but it was engaged the whole time.
1116 我们/照/一张/相/吧。 | Let's take a photo.
1116 请/帮/我/照/张/相。 | Please take a picture of me.
1120 我们/公司/在/招聘。 | Our company is hiring.
1120 这/是/一个/招聘/广告。 | This is a job advert.
1125 一切/都/很/正常。 | Everything is normal.
1125 这/很/正常，/别/担心。 | This is normal; don't worry.
1126 你/来得/正好。 | You've come at just the right time.
1126 这件/衣服/我/穿/正好。 | This fits me perfectly.
1127 请/整理/一下/你的/桌子。 | Please tidy your desk.
1127 我/在/整理/房间。 | I'm tidying my room.
1128 你/能/证明/吗？ | Can you prove it?
1128 这/证明/我/是/对的。 | This proves I'm right.
1129 你的/答案/正确。 | Your answer is correct.
1129 请/用/正确的/方法。 | Please use the right method.
1130 这/是/一个/正式的/会议。 | This is a formal meeting.
1130 他/正式/成为了/我们的/同事。 | He officially became our colleague.
1132 他/是/我/真正的/朋友。 | He's a true friend of mine.
1132 我/真正/明白了/他的/意思。 | I really understood what he meant.
1133 这/是/我/最/喜欢的/城市/之一。 | This is one of my favorite cities.
1133 他/是/班上/最/高的/学生/之一。 | He's one of the tallest students in the class.
1136 他/指着/地图/说。 | He said, pointing at the map.
1136 你/指/的/是/哪个？ | Which one do you mean?
1137 我/支持/你。 | I support you.
1137 谢谢/你的/支持。 | Thank you for your support.
1139 这本书/很/值得/看。 | This book is well worth reading.
1139 这个/地方/值得/去。 | This place is worth a visit.
1140 他/不/在，/我/只好/明天/再/来。 | He isn't in, so I'll have to come back tomorrow.
1140 下雨了，/我们/只好/在家。 | It's raining, so we have to stay in.
1141 你/直接/告诉/我/吧。 | Just tell me straight.
1141 我/下班/后/直接/回家。 | I go straight home after work.
1142 这件/衣服/质量/很好。 | This is good quality.
1142 我们/要/提高/质量。 | We need to improve quality.
1143 我/至少/要/睡/七个/小时。 | I need at least seven hours' sleep.
1143 这里/至少/有/一百人。 | There are at least a hundred people here.
1144 他的/知识/很/丰富。 | He's very knowledgeable.
1144 读书/可以/学到/很多/知识。 | You can learn a lot from reading.
1145 我/喜欢/养/植物。 | I like growing plants.
1145 植物/需要/水。 | Plants need water.
1146 只要/你/愿意，/我/就/帮/你。 | As long as you're willing, I'll help you.
1146 只要/坚持，/就/会/成功。 | As long as you keep at it, you'll succeed.
1147 你的/职业/是/什么？ | What do you do for a living?
1147 医生/是/一个/很好的/职业。 | Being a doctor is a good profession.
1150 这个/箱子/很/重。 | This box is very heavy.
1150 你/有/多/重？ | How much do you weigh?
1151 这/是/今天的/重点。 | This is today's key point.
1151 请/把/重点/写/下来。 | Please write down the key points.
1154 他/很/重视/学习。 | He takes his studies seriously.
1154 公司/很/重视/这件/事。 | The company attaches great importance to this.
1159 我家/周围/很/安静。 | It's very quiet around my home.
1159 周围/的/人/都/很/友好。 | The people around here are all very friendly.
1161 他/赚了/很多/钱。 | He made a lot of money.
1161 我/想/多/赚/点儿/钱。 | I want to earn a bit more money.
1162 请/在/前面/往/右/转。 | Please turn right up ahead.
1162 他/转过/身/看着/我。 | He turned round and looked at me.
1163 他/专门/来/看/我。 | He came specially to see me.
1163 这/是/专门/给/孩子的/书。 | This book is written specially for children.
1164 你/学/什么/专业？ | What's your major?
1164 他的/专业/是/法律。 | His major is law.
1165 祝贺/你/结婚！ | Congratulations on your wedding!
1165 我们/去/祝贺/他/吧。 | Let's go and congratulate him.
1166 他/是/著名的/演员。 | He's a famous actor.
1166 这/是/一个/著名的/地方。 | This is a famous place.
1168 请/说/准确/一点儿。 | Please be more precise.
1168 这个/时间/不/准确。 | This time isn't accurate.
1169 他/每天/准时/上班。 | He gets to work on time every day.
1169 请/准时/到。 | Please arrive on time.
1172 我/有/个/好/主意。 | I have a good idea.
1172 你/拿/主意/吧。 | You decide.
1176 我/喜欢/大自然。 | I love nature.
1176 他/说得/很/自然。 | He speaks very naturally.
1177 请/仔细/看。 | Please look carefully.
1177 他/做事/很/仔细。 | He's very careful in what he does.
1178 她/很/自信。 | She's very confident.
1178 你/要/自信/一点儿。 | You should be a bit more confident.
1180 请/总结/一下/经验。 | Please sum up what you've learned.
1180 考试/后/要/做/总结。 | You should review after an exam.
1183 我/想/租/一个/房子。 | I want to rent a place.
1183 这里/可以/租/自行车。 | You can rent bikes here.
1186 你/最好/别/去。 | You'd better not go.
1186 这/是/最好的/办法。 | This is the best way.
1189 我们/要/尊重/老师。 | We should respect our teachers.
1189 请/尊重/别人的/选择。 | Please respect other people's choices.
1192 这座/城市/很/大。 | This city is very big.
1192 前面/有/一座/桥。 | There's a bridge up ahead.
1194 他/是/一位/作家。 | He is a writer.
1194 这位/作家/写了/很多/书。 | This writer has written many books.
1196 请/回到/你的/座位。 | Please go back to your seat.
1196 这个/座位/是/我的。 | This seat is mine.
1198 这个/药/没有/作用。 | This medicine has no effect.
1198 他/在/公司/起了/很大的/作用。 | He plays a big role in the company.
1199 他/三十岁/左右。 | He's about thirty.
1199 我们/八点/左右/出发。 | We'll leave at around eight.
1200 这本书的/作者/是/谁？ | Who's the author of this book?
1200 我/很/喜欢/这个/作者。 | I really like this author.
