# 排列顺序 (Reading part 2). Three sentences in the CORRECT order.
# Format:  first sentence | second sentence | third sentence
# The app shuffles them and labels them A/B/C; the learner must recover this order.
我昨天买了一个新手机 | 用了以后觉得非常方便 | 所以想推荐给我的朋友们
我的邻居是一位七十多岁的老人 | 她每天早上都去公园锻炼身体 | 所以身体一直很健康
张教授的课总是很受欢迎 | 因为他讲课非常幽默 | 常常让学生们笑个不停
如果你想提高汉语水平 | 就应该多和中国人聊天 | 这样进步会很快
昨天我去超市买东西 | 在那里遇到了我的小学同学 | 我们已经十年没见面了
现在很多人喜欢在网上购物 | 因为这样很方便 | 而且价格也比较便宜
小明的汉语说得很流利 | 很多人以为他是中国人 | 其实他是从美国来的留学生
这次考试的题目比较难 | 很多同学都没考好 | 只有小张考得不错
我原来打算坐飞机去上海 | 可是飞机票已经卖完了 | 我只好坐火车去
首先把西红柿和鸡蛋准备好 | 然后把鸡蛋炒一下 | 最后再放西红柿就可以了
我女儿今年六岁 | 她非常活泼可爱 | 每天回家都给我讲学校里的事
这个城市的交通很方便 | 地铁几乎可以到任何地方 | 所以很多人上班都不开车
小王最近总是很晚才下班 | 原来公司正在准备一个重要的会议 | 他负责准备所有的材料
父母是孩子的第一个老师 | 他们说的话和做的事都会影响孩子 | 所以父母一定要注意这一点
他以前一句汉语都不会说 | 来中国以后他每天都认真学习 | 现在已经能和中国人简单地聊天了
中国人吃饭的时候喜欢用筷子 | 很多外国人刚开始觉得很难 | 不过多练习几次就会了
昨天我去一家公司应聘 | 由于路上堵车 | 我差点儿迟到了
每个人都有自己的优点和缺点 | 我们不能只看到别人的缺点 | 也要学会发现别人的优点
这家公司的工资虽然不高 | 但是工作环境很好 | 同事们也都很友好
我哥哥是一名医生 | 他的工作非常辛苦 | 经常晚上也要去医院
周末我本来想在家休息 | 但是朋友打电话约我去爬山 | 于是我就跟他一起去了
喝咖啡可以让人不困 | 不过晚上最好不要喝 | 否则会影响睡觉
我们学校的图书馆很大 | 里面有各种各样的书 | 我经常去那儿看书学习
那个孩子在路上迷路了 | 一位警察看见了他 | 就把他送回了家
小李做事非常仔细 | 从来没有出过什么错误 | 经理对他很满意
听说这个电影很精彩 | 我特别想去看 | 你愿意跟我一起去吗
很多年轻人毕业以后 | 都希望留在大城市工作 | 因为那里的机会比较多
这件衣服的颜色很漂亮 | 可是穿在我身上有点儿小 | 你能帮我换一件大一点儿的吗
我刚来中国的时候 | 对这里的气候很不习惯 | 现在已经慢慢适应了
王阿姨做的饺子特别好吃 | 每次我们去她家 | 她都会给我们包饺子
他是一个非常有耐心的老师 | 不管学生问多少次 | 他都会认真地回答
今天是妈妈的生日 | 我和爸爸早就准备好了礼物 | 打算晚上送给她
这个问题其实很简单 | 只要你仔细想一想 | 就一定能找到答案
她为了减肥 | 每天晚上都不吃饭 | 结果身体越来越差
我觉得学习最重要的是兴趣 | 如果对一件事感兴趣 | 就会努力地去学
小张是个很粗心的人 | 他经常忘记带钥匙 | 上个星期还把手机丢了
去年夏天我去了一趟海南 | 那里的海水又蓝又干净 | 我在那儿玩了一个星期
越来越多的外国人开始学习汉语 | 其中很多人是为了了解中国文化 | 也有人是因为工作的需要
下个月我就要毕业了 | 我打算先找一份工作 | 过两年再去读硕士
他们俩是在大学认识的 | 毕业后不久就结婚了 | 现在已经有了一个可爱的儿子
服务员，这个菜太咸了 | 能不能帮我们换一个 | 或者给我们再做一份
爷爷年轻的时候是一名司机 | 他开车开了三十多年 | 从来没有出过问题
学校附近新开了一家书店 | 里面不仅有很多书 | 还可以一边看书一边喝咖啡
张先生，您的护照已经办好了 | 请您明天上午来取 | 取的时候请带上这张表格
很多父母都希望孩子学习好 | 但是孩子的健康更重要 | 所以不应该给孩子太大的压力
小时候我特别害怕打针 | 每次去医院都会哭 | 现在想起来觉得很好笑
我住的地方离公司很远 | 每天上下班要花两个多小时 | 所以我打算搬到公司附近去
这台电脑是我三年前买的 | 最近经常出问题 | 我想换一台新的
考试的时候千万别紧张 | 先做容易的题 | 再做难的
我的汉语老师是北京人 | 她说的普通话非常标准 | 我们都很喜欢听她讲课
周末商店里的人特别多 | 买东西要排很长时间的队 | 所以我一般周五晚上去
他今天没来上课 | 听说是发烧了 | 我们下课后去看看他吧
那家饭馆的菜很有名 | 尤其是他们的烤鸭 | 来的客人几乎都会点
我已经买好了明天去上海的火车票 | 可是今天公司突然有事 | 我只好推迟出发的时间
刚开始学开车的时候 | 我总是很紧张 | 后来练习得多了就不怕了
他从小在南方长大 | 第一次看到下雪 | 高兴得像个孩子一样
这次比赛输了没关系 | 重要的是我们学到了很多东西 | 下次一定会做得更好
这条街上有很多小吃 | 每到晚上 | 这里就特别热闹
我向经理提了一个建议 | 经理觉得很有道理 | 决定下个月开始试一试
手机给我们的生活带来了很多方便 | 但是也带来了一些问题 | 比如很多人每天花太多时间玩手机
这个房子虽然有点儿旧 | 但是离地铁站很近 | 而且价格也不贵
小王上班从来没有迟到过 | 可是今天他却没有按时来 | 大家都有点儿担心他
我建议你先去问问老师 | 如果老师也不知道 | 我们再上网查一查
