# HSK 1 — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
2 我/爱/我的/妈妈。 | I love my mom.
608 你/要/米饭/还是/面条？ | Would you like rice or noodles?
612 明天/我/去/北京。 | Tomorrow I'm going to Beijing.
612 明天/是/星期六。 | Tomorrow is Saturday.
613 你的/名字/很/好听。 | Your name sounds nice.
613 请/写/你的/名字。 | Please write your name.
617 你/想/去/哪个/国家？ | Which country do you want to go to?
617 你/喜欢/哪本/书？ | Which book do you like?
619 那/是/谁的/车？ | Whose car is that?
619 那个/人/是/我的/老师。 | That person is my teacher.
628 你/家/在/哪儿？ | Where is your home?
628 我的/书/在/哪儿？ | Where is my book?
629 你/在/做/什么/呢？ | What are you doing?
629 我的/手机/呢？ | Where's my phone?
632 明天/你/能/来/吗？ | Can you come tomorrow?
632 我/能/用/一下/你的/电脑/吗？ | May I use your computer for a moment?
634 你/好/吗？ | How are you?
634 你/是/哪国/人？ | What country are you from?
635 我/来/中国/两年了。 | I've been in China for two years.
635 今年/是/我/在/北京的/第一年。 | This is my first year in Beijing.
645 我/女儿/今年/五岁。 | My daughter is five this year.
645 他/女儿/很/漂亮。 | His daughter is very pretty.
657 我/有/一个/中国/朋友。 | I have a Chinese friend.
657 他/是/我的/好/朋友。 | He's a good friend of mine.
662 这件/衣服/很/漂亮。 | This piece of clothing is very pretty.
662 她/长得/很/漂亮。 | She's very pretty.
665 我/很/喜欢/吃/苹果。 | I really like eating apples.
665 这个/苹果/很/甜。 | This apple is very sweet.
676 我/七点/吃/早饭。 | I have breakfast at seven.
676 一个/星期/有/七天。 | There are seven days in a week.
679 你/有/钱/吗？ | Do you have any money?
679 我/没有/钱/了。 | I've run out of money.
681 前面/有/一个/商店。 | There's a shop up ahead.
681 请/坐/前面。 | Please sit at the front.
694 请/喝/茶。 | Please have some tea.
694 请/你/说/慢/一点儿。 | Please speak a little slower.
707 我们/去/公园/吧。 | Let's go to the park.
707 你/明天/去/哪儿？ | Where are you going tomorrow?
720 夏天/很/热。 | Summer is very hot.
720 今天/太/热了。 | It's too hot today.
721 这里/有/很多/人。 | There are a lot of people here.
721 他/是/北京人。 | He's from Beijing.
726 我/认识/他。 | I know him.
726 很/高兴/认识/你。 | Nice to meet you.
736 我/有/三个/中国/朋友。 | I have three Chinese friends.
736 我们/三点/见面。 | Let's meet at three.
741 书/在/桌子上。 | The book is on the table.
741 猫/在/椅子上/睡觉。 | The cat is sleeping on the chair.
743 这个/商店/很/大。 | This shop is very big.
743 我/去/商店/买/水果。 | I'm going to the shop to buy fruit.
746 我/上午/在家。 | I'm at home in the morning.
746 明天/上午/我/有/课。 | I have class tomorrow morning.
748 今天/人/很/少。 | There aren't many people today.
748 我的/钱/太/少了。 | I have too little money.
752 谁/是/你的/老师？ | Who is your teacher?
752 这/是/谁的/书？ | Whose book is this?
763 你/想/吃/什么？ | What do you want to eat?
763 这/是/什么？ | What is this?
768 我/有/十本/书。 | I have ten books.
768 现在/十点/了。 | It's ten o'clock now.
769 他/是/老师。 | He is a teacher.
769 今天/是/我的/生日。 | Today is my birthday.
776 你/什么/时候/回家？ | When are you going home?
776 我/小/时候/住在/北京。 | I lived in Beijing when I was little.
797 这/是/一本/新/书。 | This is a new book.
797 我/喜欢/看/书。 | I like reading books.
804 我/每天/喝/很多/水。 | I drink a lot of water every day.
804 杯子里/没有/水/了。 | There's no water left in the cup.
805 我/喜欢/吃/水果。 | I like eating fruit.
805 这些/水果/很/新鲜。 | This fruit is very fresh.
806 我/每天/十点/睡觉。 | I go to bed at ten every day.
806 孩子/在/睡觉，/请/小声/一点儿。 | The child is sleeping; please keep your voice down.
812 请/再/说/一遍。 | Please say it again.
812 他/说/他/明天/不/来。 | He said he won't come tomorrow.
820 我/家/有/四口/人。 | There are four people in my family.
820 他/四点/下班。 | He finishes work at four.
826 我/儿子/三岁/了。 | My son is three years old.
826 你/今年/多少/岁？ | How old are you this year?
833 他/是/我的/哥哥。 | He's my older brother.
833 他/在/学习/汉语。 | He is studying Chinese.
834 她/是/我的/妈妈。 | She is my mom.
834 她/很/喜欢/唱歌。 | She really likes singing.
837 太/贵了！ | That's too expensive!
837 今天/太/冷了。 | It's too cold today.
857 今天/天气/怎么样？ | What's the weather like today?
857 明天/天气/很好。 | The weather will be good tomorrow.
864 我/喜欢/听/音乐。 | I like listening to music.
864 请/听/我/说。 | Please listen to me.
873 他/是/我的/大学/同学。 | He's a university classmate of mine.
873 我们/是/同学。 | We're classmates.
899 喂，/你好，/我是/小王。 | Hello, this is Xiao Wang.
899 喂，/你/能/听见/吗？ | Hello, can you hear me?
910 我/是/学生。 | I'm a student.
910 我/很/喜欢/北京。 | I really like Beijing.
911 我们/是/好朋友。 | We're good friends.
911 我们/一起/吃饭/吧。 | Let's eat together.
912 我/五点/下班。 | I finish work at five.
912 这本书/五十/块。 | This book is fifty yuan.
920 猫/在/椅子/下面。 | The cat is under the chair.
920 我/下个/星期/回国。 | I'm going back to my country next week.
926 我/想/喝/水。 | I want to drink some water.
926 你/想/去/哪儿？ | Where do you want to go?
936 李先生/是/我的/老师。 | Mr. Li is my teacher.
936 先生，/您/要/喝/什么？ | Sir, what would you like to drink?
937 我/现在/很/忙。 | I'm very busy right now.
937 他/现在/在/北京。 | He's in Beijing now.
938 我的/房间/很/小。 | My room is very small.
938 这个/杯子/太/小了。 | This cup is too small.
944 王小姐/是/我的/同事。 | Miss Wang is my colleague.
944 小姐，/请/给/我/一杯/茶。 | Miss, could I have a cup of tea, please?
951 我/下午/有/课。 | I have class in the afternoon.
951 今天/下午/我/去/商店。 | I'm going to the shop this afternoon.
952 明天/会/下雨/吗？ | Will it rain tomorrow?
952 下雨了，/我们/回家/吧。 | It's raining; let's go home.
953 我/想/买/一些/苹果。 | I want to buy some apples.
953 这些/书/是/谁的？ | Whose books are these?
954 请/写/你的/名字。 | Please write your name.
954 他/在/写/汉字。 | He's writing Chinese characters.
955 谢谢/你的/帮助。 | Thank you for your help.
955 A：给你一杯茶。B：谢谢！ | A: Here's a cup of tea for you. B: Thanks!
959 我/喜欢/看/电影。 | I like watching movies.
959 你/喜欢/吃/什么？ | What do you like to eat?
970 今天/星期几？ | What day of the week is it today?
970 我/星期六/不/上班。 | I don't work on Saturdays.
989 我/是/大学/学生。 | I'm a university student.
989 这个/学校/有/很多/学生。 | This school has a lot of students.
990 我/在/学习/汉语。 | I'm studying Chinese.
990 他/学习/很/好。 | He's a good student.
991 我的/学校/很/大。 | My school is very big.
991 学校/旁边/有/一个/商店。 | There's a shop next to the school.
1021 我/有/一个/姐姐。 | I have an older sister.
1021 我/想/喝/一杯/水。 | I'd like a glass of water.
1025 我/会/说/一点儿/汉语。 | I can speak a little Chinese.
1025 我/想/吃/一点儿/米饭。 | I'd like a little rice.
1027 这件/衣服/很/漂亮。 | This outfit is very pretty.
1027 我/去/商店/买/衣服。 | I'm going to the shop to buy clothes.
1047 医生/说/我/没/问题。 | The doctor said I'm fine.
1047 我/想/当/医生。 | I want to be a doctor.
1053 他/在/医院/工作。 | He works at the hospital.
1053 我/明天/要/去/医院。 | I have to go to the hospital tomorrow.
1055 教室里/有/很多/椅子。 | There are lots of chairs in the classroom.
1055 请/坐/这把/椅子。 | Please sit on this chair.
1060 我/有/两本/书。 | I have two books.
1060 你/有/时间/吗？ | Do you have time?
1084 一年/有/十二个/月。 | There are twelve months in a year.
1084 我/八月/去/中国。 | I'm going to China in August.
1099 我/在/学校。 | I'm at school.
1099 他/在/家/看/电视。 | He's watching TV at home.
1100 再见，/明天/见！ | Goodbye, see you tomorrow!
1100 老师/再见！/同学们/再见！ | Goodbye, teacher! Goodbye, everyone!
1107 这个/字/怎么/读？ | How do you read this character?
1107 你/怎么/不/高兴？ | Why are you unhappy?
1108 今天/天气/怎么样？ | What's the weather like today?
1108 我们/明天/去，/怎么样？ | Let's go tomorrow, how about it?
1123 这/是/我的/书。 | This is my book.
1123 这个/苹果/很/大。 | This apple is very big.
1152 我/很/喜欢/中国。 | I really like China.
1152 他/在/中国/学习。 | He's studying in China.
1156 中午/我/在/学校/吃饭。 | At noon I eat at school.
1156 中午/我/想/睡/一会儿。 | I'd like to have a short nap at noon.
1160 我/住/在/北京。 | I live in Beijing.
1160 你/住/哪儿？ | Where do you live?
1170 这张/桌子/很/大。 | This table is very big.
1170 你的/书/在/桌子上。 | Your book is on the table.
1174 这个/字/很/难/写。 | This character is hard to write.
1174 他的/字/写得/很/好看。 | His handwriting is very nice.
1190 你/在/做/什么？ | What are you doing?
1190 妈妈/在/做/饭。 | Mom is cooking.
1191 请/坐/这儿。 | Please sit here.
1191 我/坐/公共汽车/上班。 | I take the bus to work.
1195 昨天/我/没/上班。 | I didn't go to work yesterday.
1195 昨天/是/星期天。 | Yesterday was Sunday.
