# HSK 4 (part 3) — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
747 她/哭得/很/伤心。 | She cried her heart out.
749 请/稍微/等/一下。 | Please wait a moment.
749 这件/衣服/稍微/大/了/一点儿。 | This is slightly too big.
750 请/给/我/一把/勺子。 | Please give me a spoon.
750 他/用/勺子/吃饭。 | He eats with a spoon.
751 我们/要/了解/社会。 | We need to understand society.
751 大学/毕业/后/就/要/走进/社会。 | After university you go out into the world.
753 他/给/我/留下了/很/深的/印象。 | He left a deep impression on me.
753 夜/深了，/该/睡觉了。 | It's late at night; time for bed.
754 还/剩/多少/钱？ | How much money is left?
754 只/剩下/我/一个人/了。 | Only I am left.
755 这样/做/能/省/很多/钱。 | Doing it this way saves a lot of money.
755 坐/地铁/很/省/时间。 | Taking the subway saves time.
757 我/很/喜欢/这里的/生活。 | I really like life here.
757 他的/生活/很/简单。 | He lives a simple life.
758 生命/是/最/重要的。 | Life is the most important thing.
758 医生/救了/他的/生命。 | The doctor saved his life.
761 他的/生意/很好。 | His business is doing well.
761 我/想/做/生意。 | I want to go into business.
764 我/申请了/签证。 | I've applied for a visa.
764 他/申请/去/国外/学习。 | He has applied to study abroad.
766 他/甚至/连/我的/名字/都/忘了。 | He even forgot my name.
766 天气/很/冷，/甚至/下了/雪。 | It was very cold; it even snowed.
767 这件/事/使/我/很/难过。 | This made me very sad.
767 运动/使/人/健康。 | Exercise keeps people healthy.
771 这次/失败/了/没关系。 | It doesn't matter that it failed this time.
771 失败/是/成功/之/母。 | Failure is the mother of success.
772 我/十分/高兴。 | I'm extremely happy.
772 这个/问题/十分/重要。 | This question is extremely important.
773 请/问/他/是否/愿意/参加。 | Please ask him whether he'd like to take part.
773 我/不/确定/他/是否/会/来。 | I'm not sure whether he'll come.
774 师傅，/请/停/一下。 | Driver, please stop here.
774 这位/师傅/做/菜/很/好吃。 | This chef's cooking is delicious.
775 这个/工作/很/适合/你。 | This job suits you well.
775 这件/衣服/不/适合/我。 | This isn't right for me.
777 现在/是/二十一/世纪。 | We're in the twenty-first century.
777 这/是/上个/世纪的/事了。 | That happened last century.
778 实际上/他/已经/走了。 | Actually, he's already left.
778 这个/想法/不/实际。 | This idea isn't realistic.
782 我/对/他/很/失望。 | I'm very disappointed in him.
782 别/让/父母/失望。 | Don't let your parents down.
783 我/已经/适应了/这里的/生活。 | I've adapted to life here.
783 他/很快/就/适应了/新/工作。 | He soon got used to his new job.
784 请/正确/使用/电脑。 | Please use the computer properly.
784 这个/东西/怎么/使用？ | How do you use this?
785 我/实在/不/知道。 | I really don't know.
785 这个/菜/实在/太/好吃了。 | This dish is really delicious.
786 我/收到了/你的/礼物。 | I received your present.
786 请/把/衣服/收/起来。 | Please put the clothes away.
789 这么/热，/我/受不了了。 | It's so hot I can't stand it.
789 他/受不了/别人/说/他。 | He can't stand being criticized.
790 他/受到了/老师的/表扬。 | He was praised by the teacher.
790 这个/节目/受到/大家的/欢迎。 | This program is very popular with everyone.
791 你们/国家的/首都/是/哪儿？ | What's the capital of your country?
791 北京/是/首都。 | Beijing is the capital.
792 我/问/售货员/多少/钱。 | I asked the shop assistant how much it was.
792 她/是/一名/售货员。 | She's a shop assistant.
794 他的/收入/很/高。 | He earns a lot.
794 我们/家/的/收入/不/多。 | Our family doesn't earn much.
795 请/收拾/一下/房间。 | Please tidy the room.
795 我/在/收拾/行李。 | I'm packing my bags.
796 首先，/我/要/谢谢/大家。 | First of all, I'd like to thank everyone.
796 做/事情/首先/要/有/计划。 | To get things done, first you need a plan.
799 我们/输了。 | We lost.
799 这次/比赛/他/输了。 | He lost this match.
800 你/今天/很/帅。 | You look great today.
800 这个/男孩/很/帅。 | This boy is very handsome.
808 学生的/数量/越来越/多。 | The number of students keeps growing.
808 请/检查/一下/数量。 | Please check the quantity.
809 我/去/超市，/顺便/买/点儿/水果。 | I'm going to the supermarket and I'll pick up some fruit while I'm at it.
809 你/回家/的时候/顺便/来/我家/吧。 | Drop by my place on your way home.
810 一切/都/很/顺利。 | Everything went smoothly.
810 祝/你/工作/顺利！ | Hope work goes well for you!
811 请/按照/顺序/来。 | Please go in order.
811 这些/书的/顺序/乱了。 | These books are out of order.
814 请/看/一下/说明。 | Please read the instructions.
814 这/说明/他/很/努力。 | This shows he's working hard.
815 他/有/硕士/学位。 | He has a master's degree.
815 我/打算/读/硕士。 | I plan to do a master's.
817 我/对/这里/很/熟悉。 | I know this place very well.
817 你/熟悉/这个/人/吗？ | Do you know this person?
819 这个/数字/是/多少？ | What is this number?
819 请/写/清楚/数字。 | Please write the numbers clearly.
821 这/条/鱼/死了。 | This fish is dead.
821 我/累/死了。 | I'm dead tired.
824 这个/汤/有点儿/酸。 | This soup is a little sour.
824 我/不/喜欢/吃/酸的。 | I don't like sour things.
825 他/打字/的/速度/很/快。 | He types very fast.
825 请/降低/速度。 | Please slow down.
827 你/随便/坐。 | Sit wherever you like.
827 别/随便/说话。 | Don't just say whatever comes into your head.
829 随着/时间/过去，/他/慢慢/好了。 | As time passed, he slowly got better.
829 随着/天气/变冷，/感冒的/人/多了。 | As the weather got colder, more people caught colds.
830 我/不/用/塑料袋。 | I don't use plastic bags.
830 请/给/我/一个/塑料袋。 | Please give me a plastic bag.
831 这/是/我的/孙子。 | This is my grandson.
831 奶奶/很/爱/她的/孙子。 | Grandma loves her grandson very much.
832 所有/人/都/来了。 | Everyone has come.
832 我/把/所有的/钱/都/花了。 | I spent all my money.
836 我家/有/两台/电脑。 | We have two computers at home.
836 这台/电视/很/大。 | This TV is very big.
838 他/抬/起/头/看了/我/一眼。 | He looked up at me.
838 我们/把/沙发/抬/进去。 | Let's carry the sofa in.
839 他的/态度/很好。 | He has a good attitude.
839 学习/态度/很/重要。 | Your attitude to study is very important.
841 我们/谈/一下/吧。 | Let's have a talk.
841 他们/谈了/很/久。 | They talked for a long time.
842 他/会/弹钢琴。 | He can play the piano.
842 我/每天/练习/弹钢琴。 | I practice the piano every day.
843 我/想/喝/汤。 | I'd like some soup.
843 这个/汤/很/好喝。 | This soup is very good.
844 我/不/吃/糖。 | I don't eat sweets.
844 孩子们/很/喜欢/吃/糖。 | Children love sweets.
845 我/去了/一趟/超市。 | I made a trip to the supermarket.
845 你/能/来/一趟/吗？ | Could you come over?
846 他/躺在/床上。 | He's lying on the bed.
846 你/躺/一会儿/吧。 | Lie down for a while.
847 我们/讨论/一下。 | Let's discuss it.
847 大家/正在/讨论/这个/问题。 | Everyone is discussing this question.
848 我/讨厌/下雨。 | I hate rain.
848 你/真/讨厌！ | You're so annoying!
850 这个/城市/有/什么/特点？ | What's special about this city?
850 他的/特点/是/很/幽默。 | What stands out about him is his humor.
852 他/提了/很多/问题。 | He asked lots of questions.
852 你/别/再/提/这件/事了。 | Don't bring this up again.
856 请/做/填空/练习。 | Please do the fill-in-the-blank exercise.
856 这道/填空/题/很/难。 | This fill-in-the-blank question is hard.
859 这里的/条件/很好。 | Conditions here are good.
859 你/有/什么/条件？ | What are your conditions?
862 我们/提供/免费/早餐。 | We provide free breakfast.
862 他/给/我/提供了/很多/帮助。 | He's given me a lot of help.
863 车/停/在/哪儿？ | Where's the car parked?
863 请/停/一下。 | Please stop for a moment.
865 这个/挺/好的。 | This one's pretty good.
865 他/挺/高兴的。 | He's quite happy.
866 我们/提前/到了。 | We arrived early.
866 请/提前/告诉/我。 | Please let me know in advance.
867 谢谢/你/提醒/我。 | Thanks for reminding me.
867 请/提醒/他/带/护照。 | Please remind him to bring his passport.
869 他/通过了/考试。 | He passed the exam.
869 我们/通过/电话/联系。 | We keep in touch by phone.
870 我/很/同情/他。 | I feel very sorry for him.
870 大家/都/同情/那个/孩子。 | Everyone feels sorry for that child.
872 他/同时/做/两件/事。 | He does two things at once.
872 我们/同时/出发。 | We set off at the same time.
875 我们/已经/通知/他了。 | We've already told him.
875 请/通知/大家/明天/开会。 | Please let everyone know there's a meeting tomorrow.
877 请/往/外/推。 | Please push outwards.
877 他/推着/自行车/走。 | He's walking along pushing his bike.
879 会议/推迟/到/明天。 | The meeting has been postponed until tomorrow.
879 他/推迟了/出发/时间。 | He put back his departure time.
880 天/热，/他/脱了/外衣。 | It was hot, so he took off his jacket.
880 把/衣服/脱/下来。 | Take your clothes off.
891 我/不/会/打/网球。 | I can't play tennis.
891 他/网球/打得/很好。 | He plays tennis very well.
892 他/往往/很晚/才/回家。 | He often gets home very late.
892 周末/超市/往往/人/很多。 | Supermarkets are often crowded at weekends.
893 这个/网站/很/有用。 | This website is very useful.
893 你/可以/上/网站/看看。 | You can look on the website.
894 我/完全/同意。 | I completely agree.
894 这/完全/是/我的/错。 | This is entirely my fault.
896 我的/袜子/破了。 | My socks have a hole in them.
896 他/买了/几双/袜子。 | He bought a few pairs of socks.
900 这个/菜的/味道/很好。 | This dish tastes good.
900 我/喜欢/这种/味道。 | I like this flavor.
902 卫生间/在/哪儿？ | Where's the bathroom?
902 请/打扫/一下/卫生间。 | Please clean the bathroom.
904 这里/很/危险。 | It's dangerous here.
904 开车/太/快/很/危险。 | Driving too fast is dangerous.
906 今天/温度/很/高。 | The temperature is high today.
906 房间的/温度/很/合适。 | The room is at a comfortable temperature.
909 这篇/文章/我/看过。 | I've read this article.
909 他/写了/一篇/文章。 | He wrote an article.
913 我们/无法/知道/结果。 | We have no way of knowing the result.
913 他/无法/回答/这个/问题。 | He couldn't answer this question.
914 这/是/一个/误会。 | This is a misunderstanding.
914 你/误会/他了。 | You've misunderstood him.
915 这个/电影/很/无聊。 | This film is very boring.
915 我/一个人/在家/很/无聊。 | I'm bored at home by myself.
916 无论/多/难，/我/都/要/做。 | However hard it is, I'll do it.
916 无论/谁/来，/都/欢迎。 | Whoever comes is welcome.
917 这里/空气/污染/很/严重。 | Air pollution here is serious.
917 我们/要/减少/污染。 | We need to reduce pollution.
922 我/不/喜欢/吃/太/咸的。 | I don't like food that's too salty.
922 海水/是/咸的。 | Sea water is salty.
925 手机/响了。 | The phone's ringing.
925 外面/响起了/音乐。 | Music started playing outside.
927 这些/花/很/香。 | These flowers smell lovely.
927 饭/真/香！ | The food smells great!
928 结果/正好/相反。 | The result was just the opposite.
928 他/说的/和/我/想的/相反。 | What he said was the opposite of what I thought.
930 我/忘了/带/橡皮。 | I forgot to bring an eraser.
930 这块/橡皮/是/谁的？ | Whose eraser is this?
931 我们的/答案/相同。 | Our answers are the same.
931 这/两个/字/读音/相同。 | These two characters sound the same.
932 请/详细/说明/一下。 | Please explain in detail.
932 这/是/一份/很/详细的/计划。 | This is a very detailed plan.
934 我/没/带/现金。 | I didn't bring any cash.
934 你/有/现金/吗？ | Do you have cash?
935 我/很/羡慕/你。 | I really envy you.
935 大家/都/羡慕/他的/工作。 | Everyone envies his job.
940 北京/有/很多/有名的/小吃。 | Beijing has lots of famous snacks.
940 我/很/喜欢/吃/小吃。 | I love eating snacks.
941 这个/方法/效果/很好。 | This method works very well.
941 吃了/药/没有/效果。 | The medicine didn't work.
942 他/给/我们/讲了/一个/笑话。 | He told us a joke.
942 这个/笑话/太/好笑了。 | This joke is hilarious.
943 这个/小伙子/工作/很/努力。 | This young man works very hard.
943 那个/小伙子/是/谁？ | Who's that young man?
946 我/在/看/一本/小说。 | I'm reading a novel.
946 他/写了/很多/小说。 | He has written many novels.
947 我/有/一个/好/消息。 | I have some good news.
947 你/听到/这个/消息/了吗？ | Have you heard this news?
958 我/买了/几个/西红柿。 | I bought a few tomatoes.
958 西红柿/很/新鲜。 | The tomatoes are very fresh.
961 我/需要/一个/信封。 | I need an envelope.
961 信封上/写着/他的/名字。 | His name is written on the envelope.
