# HSK 4 example sentences (part 1).  Format: NO chunk/chunk/chunk。 | English
300 吃完饭/我们/一起/去/逛/街/吧。 | After we eat, let's go for a stroll around the shops.
301 请/注意/听/机场的/广播。 | Please listen carefully to the airport announcements.
302 电视上的/广告/太/多了。 | There are too many adverts on TV.
308 今天/来/看/比赛的/观众/特别/多。 | There were a lot of spectators at the match today.
311 我/估计/他/今天/不会/来了。 | I reckon he won't come today.
312 这家/店的/顾客/越来越/多。 | This shop has more and more customers.
313 老师/经常/鼓励/我们/多/说/汉语。 | The teacher often encourages us to speak more Chinese.
317 请/在/表格上/写/你的/国籍。 | Please write your nationality on the form.
318 他/在/一家/国际/公司/工作。 | He works for an international company.
321 我/想/喝/一杯/苹果/果汁。 | I'd like a glass of apple juice.
323 对不起，/我/不是/故意的。 | Sorry, I didn't do it on purpose.
327 这个/孩子/很/害羞，/不/爱/说话。 | This child is very shy and doesn't like to talk.
328 我们/要/保护/海洋/环境。 | We must protect the ocean environment.
330 天气/太/热，/我/出了/一身/汗。 | It's so hot I'm covered in sweat.
331 我的/航班/推迟了/两个/小时。 | My flight was delayed by two hours.
332 寒假/我/打算/回/老家/看/父母。 | I plan to go home to see my parents in the winter holidays.
337 多/运动/对/身体/有/很多/好处。 | Exercising more has many health benefits.
338 你的/手机/号码/是/多少？ | What's your mobile number?
342 他/这次/考试/合格了。 | He passed the exam this time.
346 这双/鞋/大小/很/合适。 | These shoes are just the right size.
347 这个/盒子/里/装着/什么？ | What's in this box?
350 这本/词典/很/厚。 | This dictionary is very thick.
351 我/很/后悔/没/听/你的/话。 | I really regret not listening to you.
358 我/怀疑/他/没有/说/真话。 | I suspect he didn't tell the truth.
368 大学/生活/给/我/留下了/美好的/回忆。 | University life left me with wonderful memories.
369 互联网/让/我们的/生活/更/方便了。 | The Internet has made our lives more convenient.
370 这家/小吃店/最近/特别/火。 | This snack shop has been really popular lately.
372 他/获得了/这次/比赛的/第一名。 | He won first place in this competition.
373 学校/周末/有/很多/活动。 | The school has lots of activities at weekends.
374 她/是/一个/活泼/可爱的/女孩。 | She's a lively and lovely girl.
377 同学们/应该/互相/帮助。 | Classmates should help each other.
380 我/去/邮局/给/家里/寄/信。 | I'm going to the post office to send a letter home.
381 这个/消息/是/假的。 | This news is fake.
383 他/最近/每天/都/加班/到/很晚。 | Lately he's been working overtime until late every day.
384 这里的/价格/比/别的/地方/便宜。 | Prices here are cheaper than elsewhere.
385 我们/买了/一些/新/家具。 | We bought some new furniture.
390 为了/减肥，/她/每天/都/跑步。 | She runs every day to lose weight.
392 今天/气温/降低了/很多。 | The temperature has dropped a lot today.
393 这个月/公司/给/每人/发了/奖金。 | The company gave everyone a bonus this month.
395 飞机/已经/安全/降落了。 | The plane has landed safely.
399 我/建议/你/多/听/中文/广播。 | I suggest you listen to more Chinese radio.
400 他/来/中国/以后/交了/很多/朋友。 | He made a lot of friends after coming to China.
405 我们/都/为/你/感到/骄傲。 | We're all proud of you.
407 他们家/住在/郊区，/环境/很好。 | Their family lives in the suburbs; it's a nice environment.
409 王教授/的/课/很/受/学生/欢迎。 | Professor Wang's classes are very popular with students.
412 春节/的时候/我们/全家/一起/包/饺子。 | At Spring Festival our whole family makes dumplings together.
413 前面/有/一个/加油站。 | There's a gas station up ahead.
415 学好/语法/是/学好/汉语的/基础。 | Learning grammar well is the foundation for learning Chinese well.
421 今天/上午/我/有/三节/汉语课。 | I have three Chinese lessons this morning.
423 考试/结果/明天/就/出来了。 | The exam results come out tomorrow.
431 他/接受了/我们的/邀请。 | He accepted our invitation.
433 我们/应该/节约/用水。 | We should save water.
434 他/吃完饭，/接着/又/去/工作了。 | He finished eating and then went straight back to work.
436 你/有/什么/计划/吗？ | Do you have any plans?
438 他/上课/回答/问题/很/积极。 | He's very active in answering questions in class.
441 学/语言/需要/慢慢/积累。 | Learning a language takes gradual accumulation.
445 有/问题/可以/找/警察。 | If there's a problem, you can go to the police.
449 我/第一次/看/京剧/就/喜欢上了。 | I fell for Beijing opera the first time I saw it.
450 这次/旅行/是/一次/难忘的/经历。 | This trip was an unforgettable experience.
452 这么/简单的/题，/他/竟然/做错了。 | He actually got such an easy question wrong.
453 山上的/景色/美/极了。 | The scenery on the mountain is extremely beautiful.
454 尽管/很累，/他/还是/坚持/工作。 | Although he was tired, he kept on working.
456 现在/找/工作/竞争/很/厉害。 | Competition for jobs is fierce these days.
457 她/每天/出门/前/都/要/照/镜子。 | She always looks in the mirror before going out.
461 这里/禁止/停车。 | Parking is prohibited here.
462 既然/你/不/舒服，/就/在家/休息/吧。 | Since you're not feeling well, just rest at home.
463 即使/明天/下雨，/我们/也/要/去。 | Even if it rains tomorrow, we're still going.
464 有/问题/要/及时/告诉/老师。 | If you have a problem, tell the teacher right away.
465 现在/很多/工作/都/需要/电脑/技术。 | Many jobs nowadays require computer skills.
470 这件/事/究竟/是/谁/做的？ | Who exactly did this?
472 她/是/一名/新闻/记者。 | She is a news reporter.
473 请/你/举/个/例子/说明/一下。 | Please give an example to explain.
474 学校/下周/举办/汉语/比赛。 | The school is holding a Chinese competition next week.
477 周六/晚上/我们/有/一个/聚会。 | We're having a party on Saturday night.
478 他/拒绝了/我的/帮助。 | He refused my help.
479 我家/距离/学校/只有/五百米。 | My home is only five hundred meters from school.
