# HSK 4 example sentences (part 2).  Format: NO chunk/chunk/chunk。 | English
809 你/去/超市/的话，/顺便/帮/我/买/瓶/水。 | If you're going to the supermarket, pick me up a bottle of water while you're there.
810 祝/你/考试/顺利！ | Good luck in your exam!
811 请/按/顺序/回答/问题。 | Please answer the questions in order.
815 他/正在/读/硕士。 | He's doing a master's degree.
819 请/把/这些/数字/写/清楚。 | Please write these numbers clearly.
821 这棵/树/已经/死了。 | This tree is already dead.
824 这个/苹果/有点儿/酸。 | This apple is a little sour.
825 请/开车/慢/点儿，/速度/太/快了。 | Please drive slower; you're going too fast.
829 随着/经济的/发展，/人们的/生活/越来越/好。 | As the economy develops, people's lives are getting better and better.
830 为了/保护/环境，/少/用/塑料袋。 | To protect the environment, use fewer plastic bags.
831 爷爷/最/喜欢/他的/小孙子。 | Grandpa loves his little grandson most of all.
836 我/买了/一台/新/电脑。 | I bought a new computer.
838 这张/桌子/太/重，/我们/一起/抬/吧。 | This table is too heavy; let's lift it together.
841 我/想/跟/你/谈/一下/这件/事。 | I'd like to talk to you about this.
842 她/从/五岁/开始/学/弹钢琴。 | She started learning the piano at the age of five.
843 这碗/汤/太/咸了。 | This bowl of soup is too salty.
844 咖啡里/要/不要/加/糖？ | Do you want sugar in your coffee?
845 我/明天/要/去/一趟/北京。 | I have to make a trip to Beijing tomorrow.
846 他/累了，/躺在/床上/休息。 | He's tired and lying on the bed to rest.
847 我们/下午/开会/讨论/这个/问题。 | We'll hold a meeting this afternoon to discuss this issue.
848 我/最/讨厌/下雨天/出门。 | What I hate most is going out on rainy days.
852 他/在/会上/提了/一个/好/建议。 | He put forward a good suggestion at the meeting.
856 请/用/合适的/词语/填空。 | Please fill in the blanks with suitable words.
859 这家/公司的/工作/条件/很好。 | The working conditions at this company are good.
863 雨/终于/停了。 | The rain has finally stopped.
865 这个/电影/挺/有意思的。 | This film is pretty interesting.
867 请/提醒/我/明天/早上/七点/起床。 | Please remind me to get up at seven tomorrow morning.
870 听了/他的/故事，/大家/都/很/同情/他。 | After hearing his story, everyone felt sorry for him.
872 我们/俩/同时/到了/教室。 | The two of us arrived at the classroom at the same time.
877 门/推/不开，/得/拉。 | The door won't open if you push; you have to pull.
879 因为/下雨，/运动会/推迟了。 | The sports meeting was postponed because of rain.
880 进/房间/前/请/脱/鞋。 | Please take your shoes off before going into the room.
891 他/每个/周末/都/去/打/网球。 | He plays tennis every weekend.
892 越/简单的/问题/往往/越/容易/出错。 | The simpler the question, the easier it often is to get wrong.
893 你/可以/在/这个/网站上/买/火车票。 | You can buy train tickets on this website.
896 我/买了/三双/袜子。 | I bought three pairs of socks.
902 请问，/卫生间/在/几楼？ | Excuse me, which floor is the bathroom on?
904 在/河边/玩/很/危险。 | Playing by the river is dangerous.
906 今天的/温度/比/昨天/高。 | Today's temperature is higher than yesterday's.
913 没有/你的/帮助，/我/无法/完成。 | Without your help I couldn't have finished it.
914 你/误会/我的/意思了。 | You've misunderstood what I meant.
917 这条/河/被/污染了。 | This river has been polluted.
922 这个/菜/太/咸了。 | This dish is too salty.
925 电话/响了，/快/去/接。 | The phone is ringing; go and answer it.
927 妈妈/做的/菜/真/香。 | The food Mom cooks smells wonderful.
928 他的/看法/和/我的/正好/相反。 | His view is exactly the opposite of mine.
930 我/可以/用/一下/你的/橡皮/吗？ | May I borrow your eraser for a moment?
931 我们/俩的/爱好/完全/相同。 | The two of us have exactly the same hobbies.
932 请/你/详细/地/介绍/一下。 | Please describe it in detail.
934 这里/不能/用/现金/付款。 | You can't pay in cash here.
940 这条/街上/有/很多/好吃的/小吃。 | There are lots of tasty snacks on this street.
941 这种/药的/效果/很好。 | This medicine works very well.
943 这个/小伙子/又/高/又/帅。 | This young man is tall and handsome.
946 这本/小说/非常/有意思。 | This novel is very interesting.
958 我/最/喜欢/吃/西红柿/炒/鸡蛋。 | My favorite dish is tomato and scrambled egg.
961 请/把/信/放进/信封里。 | Please put the letter in the envelope.
963 A：我们明天去爬山，怎么样？B：行，没问题。 | A: Let's go hiking tomorrow, how about it? B: OK, no problem.
964 我/今天/早上/六点/就/醒了。 | I woke up at six this morning.
965 请/在/这里/写/你的/性别。 | Please write your gender here.
968 她的/性格/很/活泼。 | She has a very lively personality.
971 你/工作/这么/辛苦，/要/注意/身体。 | You work so hard; you should take care of your health.
972 今天/天气/好，/我的/心情/也/很好。 | The weather's nice today and I'm in a good mood too.
980 我的/自行车/坏了，/需要/修理。 | My bike is broken and needs to be repaired.
983 这本书/深深地/吸引了/我。 | This book really drew me in.
986 公园里/有/许多/人/在/锻炼。 | There are many people exercising in the park.
988 这个/学期/我/选了/五门/课。 | I'm taking five courses this semester.
993 你/怎么/现在/才/来/呀？ | Why are you only coming now?
994 我/去/超市/买/牙膏。 | I'm going to the supermarket to buy toothpaste.
996 这个/菜/盐/放得/太/多了。 | Too much salt has been put in this dish.
997 今天/晚上的/演出/八点/开始。 | Tonight's performance starts at eight.
1000 他/是/一个/很/阳光的/男孩。 | He's a very cheerful and outgoing boy.
1002 看/他的/样子，/好像/很/累。 | By the look of him, he seems very tired.
1004 我/看/书/的时候/要/戴/眼镜。 | I have to wear glasses when I read.
1007 她/是/一位/很/有名的/演员。 | She's a very famous actress.
1008 他的/病/很/严重，/需要/住院。 | His illness is serious and he needs to be hospitalized.
1014 我/把/钥匙/忘在/家里了。 | I left my keys at home.
1015 中国/在/亚洲/的/东部。 | China is in eastern Asia.
1017 请/大家/打开/书，/看/第十页。 | Everyone, please open your books to page ten.
1018 也许/他/已经/回家了。 | Maybe he's already gone home.
1020 秋天/到了，/树上的/叶子/都/黄了。 | Autumn has come and the leaves on the trees have turned yellow.
1022 我们/应该/以/学习/为/主。 | We should put studying first.
1033 他/每天/都/练习，/因此/进步/很快。 | He practices every day, so he's improving quickly.
1036 他/去/一家/大公司/应聘了。 | He applied for a job at a big company.
1040 这个/问题/引起了/大家的/注意。 | This problem caught everyone's attention.
1048 她/对/艺术/很/感兴趣。 | She's very interested in art.
1050 我/以为/你/已经/走了。 | I thought you had already left.
1057 他/是/一个/勇敢的/人。 | He is a brave person.
1061 这次/活动/由/学校/负责。 | This event is organized by the school.
1063 他的/优点/是/很/有/耐心。 | His strength is that he's very patient.
1064 这里的/人/对/外国人/非常/友好。 | People here are very friendly to foreigners.
1065 请问/邮局/几点/关门？ | Excuse me, what time does the post office close?
1067 我们的/老师/很/幽默。 | Our teacher is very funny.
1068 我/喜欢/运动，/尤其/是/游泳。 | I like sports, especially swimming.
1072 我们的/友谊/已经/有/十年了。 | Our friendship has lasted ten years.
1074 由于/天气/原因，/航班/推迟了。 | The flight was delayed because of the weather.
1075 这件/事/与/你/没有/关系。 | This has nothing to do with you.
1079 他/原来/是/一名/老师。 | He was originally a teacher.
1080 请/原谅/我/这一次。 | Please forgive me this once.
1087 他/今天/晚上/有/约会。 | He has a date tonight.
1089 汉语的/语法/不太/难。 | Chinese grammar isn't too hard.
1091 我/每周/打/两次/羽毛球。 | I play badminton twice a week.
1092 天上/有/很多/白云。 | There are lots of white clouds in the sky.
1094 妈妈/不/允许/我/晚上/出去。 | Mom doesn't allow me to go out at night.
1095 下雨了，/于是/我们/决定/在家/看/电影。 | It started raining, so we decided to watch a film at home.
1096 上课/前/要/先/预习/课文。 | You should prepare the text before class.
1101 你的/衣服/脏了，/快/去/洗/一下。 | Your clothes are dirty; go and wash them.
1102 咱们/一起/去/吃饭/吧。 | Let's go and eat together.
1103 他/暂时/住在/朋友/家。 | He's staying at a friend's place for the time being.
1105 我/每个月/都/买/这本/杂志。 | I buy this magazine every month.
1114 我/打了/好几次，/电话/一直/占线。 | I called several times but the line was always busy.
1116 我们/在/长城上/照了/很多/照片。 | We took lots of photos on the Great Wall.
1120 这家/公司/正在/招聘/新/员工。 | This company is recruiting new staff.
1125 医生/说/检查/结果/一切/正常。 | The doctor said the test results are all normal.
1126 你/来得/正好，/我们/正要/吃饭。 | You've come at just the right time; we're about to eat.
1127 我/花了/一个/下午/整理/房间。 | I spent the whole afternoon tidying my room.
1130 下周/我/就/正式/上班了。 | I officially start work next week.
1132 真正的/朋友/会/在/你/困难的/时候/帮助/你。 | A true friend helps you when you're in difficulty.
1133 他/是/中国/最/有名的/作家/之一。 | He's one of China's most famous writers.
1136 你/说的/“他”/是/指/谁？ | Who do you mean by "he"?
1137 父母/非常/支持/我/来/中国/留学。 | My parents fully support me studying in China.
1140 没有/车了，/我们/只好/走/回去。 | There were no buses left, so we had to walk back.
1141 下了/飞机/我/直接/去了/公司。 | After I got off the plane I went straight to the office.
1142 这家/店的/东西/质量/很好。 | The things in this shop are of good quality.
1143 每天/至少/要/喝/八杯/水。 | You should drink at least eight glasses of water a day.
1145 她/家里/养了/很多/植物。 | She keeps a lot of plants at home.
1146 只要/你/努力，/就/一定/能/成功。 | As long as you work hard, you'll definitely succeed.
1150 这个/箱子/太/重了，/我/拿不动。 | This box is too heavy; I can't carry it.
1159 学校/周围/有/很多/饭馆。 | There are lots of restaurants around the school.
1161 他/开/饭馆/赚了/很多/钱。 | He made a lot of money running a restaurant.
1162 一直/走，/然后/往/左/转。 | Go straight on, then turn left.
1165 祝贺/你/考上了/大学！ | Congratulations on getting into university!
1166 他/是/一位/著名的/作家。 | He is a famous writer.
1168 他的/发音/非常/准确。 | His pronunciation is very accurate.
1169 飞机/准时/起飞了。 | The plane took off on time.
1172 这/是/一个/好/主意！ | That's a good idea!
1176 只要/多/练习，/你/自然/就/会/说得/更好。 | As long as you practice a lot, you'll naturally speak better.
1177 考试/的时候/要/仔细/检查/答案。 | Check your answers carefully in the exam.
1178 她/对/自己的/汉语/很/自信。 | She's very confident about her Chinese.
1180 请/你/总结/一下/今天/学习的/内容。 | Please sum up what we learned today.
1183 我们/在/学校/附近/租了/一个/房子。 | We rented a place near the school.
1186 你/最好/早点儿/出发。 | You'd better set off a bit earlier.
1192 这座/山/很/高。 | This mountain is very high.
1194 我/想/成为/一名/作家。 | I want to become a writer.
1196 这个/座位/有/人/吗？ | Is this seat taken?
1199 从/这儿/到/机场/要/一个/小时/左右。 | It takes about an hour from here to the airport.
